"InvoiceNo","StockCode","Description","Quantity","UnitPrice","CustomerID"
"536389","22941","CHRISTMAS_LIGHTS_10_REINDEER",6,8.5,12431
"536389","21622","VINTAGE_UNION_JACK_CUSHION_COVER",8,4.95,12431
"536389","21791","VINTAGE_HEADS_AND_TAILS_CARD_GAME",12,1.25,12431
"536389","35004C","SET_OF_3_COLOURED__FLYING_DUCKS",6,5.45,12431
"536389","35004G","SET_OF_3_GOLD_FLYING_DUCKS",4,6.35,12431
"536389","85014B","RED_RETROSPOT_UMBRELLA",6,5.95,12431
"536389","85014A","BLACK/BLUE_POLKADOT_UMBRELLA",3,5.95,12431
"536389","22193","RED_DINER_WALL_CLOCK",2,8.5,12431
"536389","22726","ALARM_CLOCK_BAKELIKE_GREEN",4,3.75,12431
"536389","22727","ALARM_CLOCK_BAKELIKE_RED",4,3.75,12431
"536389","22192","BLUE_DINER_WALL_CLOCK",2,8.5,12431
"536389","22191","IVORY_DINER_WALL_CLOCK",2,8.5,12431
"536389","22195","LARGE_HEART_MEASURING_SPOONS",24,1.65,12431
"536389","22196","SMALL_HEART_MEASURING_SPOONS",24,0.85,12431
"537676","22567","20_DOLLY_PEGS_RETROSPOT",24,1.25,12386
"537676","22915","ASSORTED_BOTTLE_TOP__MAGNETS",120,0.36,12386
"537676","22926","IVORY_GIANT_GARDEN_THERMOMETER",12,5.95,12386
"537676","22953","BIRTHDAY_PARTY_CORDON_BARRIER_TAPE",24,1.25,12386
"537676","21906","PHARMACIE_FIRST_AID_TIN",4,6.75,12386
"537676","22495","SET_OF_2_ROUND_TINS_CAMEMBERT",6,2.95,12386
"537676","22555","PLASTERS_IN_TIN_STRONGMAN",12,1.65,12386
"537676","22557","PLASTERS_IN_TIN_VINTAGE_PAISLEY",12,1.65,12386
"C538723","22333","RETROSPOT_PARTY_BAG_+_STICKER_SET",-7,1.65,12434
"C538723","22094","RED_RETROSPOT_TISSUE_BOX",-5,1.25,12434
"C538723","21217","RED_RETROSPOT_ROUND_CAKE_TINS",-1,9.95,12434
"539419","48138","DOORMAT_UNION_FLAG",10,6.75,12431
"539419","79067","CORONA_MEXICAN_TRAY",50,2.95,12431
"539419","20725","LUNCH_BAG_RED_RETROSPOT",10,1.65,12431
"539419","85099B","JUMBO_BAG_RED_RETROSPOT",10,1.95,12431
"539419","22728","ALARM_CLOCK_BAKELIKE_PINK",4,3.75,12431
"539419","22196","SMALL_HEART_MEASURING_SPOONS",24,0.85,12431
"539419","22195","LARGE_HEART_MEASURING_SPOONS",12,1.65,12431
"539419","22219","LOVEBIRD_HANGING_DECORATION_WHITE",12,0.85,12431
"539419","20685","DOORMAT_RED_RETROSPOT",4,7.95,12431
"539419","48138","DOORMAT_UNION_FLAG",10,6.75,12431
"540267","22078","RIBBON_REEL_LACE_DESIGN",120,1.85,12415
"540267","22079","RIBBON_REEL_HEARTS_DESIGN",120,1.45,12415
"540267","22080","RIBBON_REEL_POLKADOTS",120,1.45,12415
